"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","439","Test getting an author by minimum integer ID","","Wed Aug 20 14:01:38 UTC 2025","passed","Wed Aug 20 14:01:38 UTC 2025","","bookstore.authors.GetAuthorTests","bookstore.authors.GetAuthorTests","getAuthorByMinIntegerId"
"","900","Update a book with null date","","Wed Aug 20 14:01:15 UTC 2025","passed","Wed Aug 20 14:01:16 UTC 2025","","bookstore.books.PutBookTests","bookstore.books.PutBookTests","updateBookWithNullDate"
"","423","Delete a book with null ID","","Wed Aug 20 14:01:23 UTC 2025","passed","Wed Aug 20 14:01:23 UTC 2025","","bookstore.books.DeleteBookTests","bookstore.books.DeleteBookTests","deleteBookWithNullId"
"","439","Create a new book with negative page count","","Wed Aug 20 14:01:27 UTC 2025","failed","Wed Aug 20 14:01:27 UTC 2025","","bookstore.books.PostBookTests","bookstore.books.PostBookTests","createBookWithNegativePageCount"
"","433","Test getting an author by bookID with negative value","","Wed Aug 20 14:01:35 UTC 2025","failed","Wed Aug 20 14:01:36 UTC 2025","","bookstore.authors.GetAuthorTests","bookstore.authors.GetAuthorTests","getAuthorByBookIdWithNegativeValue"
"","440","Create a new author with null ID","","Wed Aug 20 14:01:56 UTC 2025","passed","Wed Aug 20 14:01:57 UTC 2025","","bookstore.authors.PostAuthorTests","bookstore.authors.PostAuthorTests","createAuthorWithNullId"
"","892","Update a book with negative page count","","Wed Aug 20 14:01:16 UTC 2025","failed","Wed Aug 20 14:01:17 UTC 2025","","bookstore.books.PutBookTests","bookstore.books.PutBookTests","updateBookWithNegativePageCount"
"","429","Delete a book with null ID","","Wed Aug 20 14:01:47 UTC 2025","passed","Wed Aug 20 14:01:47 UTC 2025","","bookstore.authors.DeleteAuthorTests","bookstore.authors.DeleteAuthorTests","deleteBookWithNullId"
"","445","Delete a book with minimum integer ID","","Wed Aug 20 14:01:22 UTC 2025","failed","Wed Aug 20 14:01:22 UTC 2025","","bookstore.books.DeleteBookTests","bookstore.books.DeleteBookTests","deleteBookWithMinIntegerId"
"","864","Delete a book with valid data","","Wed Aug 20 14:01:24 UTC 2025","passed","Wed Aug 20 14:01:25 UTC 2025","","bookstore.books.DeleteBookTests","bookstore.books.DeleteBookTests","deleteBookValidData"
"","862","Create a new author without first name","","Wed Aug 20 14:01:57 UTC 2025","passed","Wed Aug 20 14:01:58 UTC 2025","","bookstore.authors.PostAuthorTests","bookstore.authors.PostAuthorTests","createAuthorWithEmptyFirstName"
"","436","Test getting an author by bookID above max ID","","Wed Aug 20 14:01:43 UTC 2025","failed","Wed Aug 20 14:01:44 UTC 2025","","bookstore.authors.GetAuthorTests","bookstore.authors.GetAuthorTests","getAuthorByBookIdAboveMaxId"
